description,category
Bought groceries at Walmart,Food & Dining
Coffee at Starbucks,Food & Dining
Lunch at McDonald's,Food & Dining
Dinner at Pizza Hut,Food & Dining
Breakfast sandwich,Food & Dining
Grocery shopping Target,Food & Dining
Food delivery UberEats,Food & Dining
Restaurant bill,Food & Dining
Cafe latte,Food & Dining
Snacks 7-Eleven,Food & Dining
Domino's pizza order,Food & Dining
KFC chicken bucket,Food & Dining
Subway sandwich,Food & Dining
Ice cream parlor,Food & Dining
Bakery fresh bread,Food & Dining
Chinese takeout,Food & Dining
Indian restaurant,Food & Dining
Thai food delivery,Food & Dining
Mexican grill,Food & Dining
Fast food burger,Food & Dining
Sushi restaurant,Food & Dining
Seafood dinner,Food & Dining
Vegetarian meal,Food & Dining
Organic fruits,Food & Dining
Meat from butcher,Food & Dining
Dairy products,Food & Dining
Frozen foods,Food & Dining
Beverages and drinks,Food & Dining
Wine and spirits,Food & Dining
Beer purchase,Food & Dining
Energy drinks,Food & Dining
Protein bars,Food & Dining
Healthy snacks,Food & Dining
Candy and sweets,Food & Dining
Cake for birthday,Food & Dining
Wedding catering,Food & Dining
Office lunch,Food & Dining
School cafeteria,Food & Dining
Airport food,Food & Dining
Hotel restaurant,Food & Dining
Room service,Food & Dining
Picnic supplies,Food & Dining
BBQ ingredients,Food & Dining
Cooking ingredients,Food & Dining
Spices and herbs,Food & Dining
Cooking oil,Food & Dining
Rice and grains,Food & Dining
Pasta and noodles,Food & Dining
Bread and cereals,Food & Dining
Milk and yogurt,Food & Dining
Cheese varieties,Food & Dining
Fresh vegetables,Food & Dining
Seasonal fruits,Food & Dining
Meat and poultry,Food & Dining
Fish and seafood,Food & Dining
Tiffin service,Food & Dining
Mess charges,Food & Dining
Canteen food,Food & Dining
Street food,Food & Dining
Local restaurant,Food & Dining
Fine dining,Food & Dining
Food court meal,Food & Dining
Home delivery,Food & Dining
Packed lunch,Food & Dining
Tea and coffee,Food & Dining
Juice bar,Food & Dining
Smoothie shop,Food & Dining
Dessert shop,Food & Dining
Food truck,Food & Dining
Catering service,Food & Dining
Uber ride,Transportation
Taxi fare,Transportation
Bus ticket,Transportation
Train journey,Transportation
Metro card recharge,Transportation
Auto rickshaw,Transportation
Flight booking,Transportation
Car rental,Transportation
Bike rental,Transportation
Petrol pump,Transportation
Diesel fuel,Transportation
Car maintenance,Transportation
Oil change,Transportation
Tire replacement,Transportation
